Year,ZIP_Code,Causes_of_Death,Count,Location 
1999,90002,SUI,1,"(33.94969, -118.246213)"
1999,90005,HOM,1,"(34.058508, -118.301197)"
1999,90006,ALZ,1,"(34.049323, -118.291687)"
1999,90007,ALZ,1,"(34.029442, -118.287095)"
1999,90015,DIA,1,"(33.9452, -118.3832)"
1999,90015,LIV,1,"(33.9452, -118.3832)"
1999,90015,OTH,1,"(33.9452, -118.3832)"
1999,90010,STK,1,"(34.060633, -118.302664)"
1999,90010,CLD,1,"(34.060633, -118.302664)"
1999,90010,DIA,1,"(34.060633, -118.302664)"
1999,90010,LIV,1,"(34.060633, -118.302664)"
1999,90012,ALZ,1,"(34.061396, -118.238479)"
1999,90012,HOM,1,"(34.061396, -118.238479)"
1999,90013,STK,1,"(34.044841, -118.243366)"
1999,90014,DIA,1,"(34.044272, -118.250937)"
1999,90014,LIV,1,"(34.044272, -118.250937)"
1999,90014,SUI,1,"(34.044272, -118.250937)"
1999,90015,STK,1,"(34.043439, -118.271613)"
1999,90015,DIA,1,"(34.043439, -118.271613)"
1999,90015,ALZ,1,"(34.043439, -118.271613)"
1999,90015,SUI,1,"(34.043439, -118.271613)"
1999,90017,DIA,1,"(34.055864, -118.266582)"
1999,90017,ALZ,1,"(34.055864, -118.266582)"
1999,90020,ALZ,1,"(34.066535, -118.302211)"
1999,90020,SUI,1,"(34.066535, -118.302211)"
1999,90021,CLD,1,"(34.033303, -118.244698)"
1999,90021,SUI,1,"(34.033303, -118.244698)"
1999,90025,LIV,1,"(34.044662, -118.448717)"
1999,90015,ALZ,1,"(34.078349, -118.211279)"
1999,90033,ALZ,1,"(34.048676, -118.208442)"
1999,90037,SUI,1,"(34.002982, -118.286284)"
1999,90040,PNF,1,"(33.99471, -118.151352)"
1999,90040,LIV,1,"(33.99471, -118.151352)"
1999,90042,ALZ,1,"(34.114527, -118.192902)"
1999,90043,LIV,1,"(33.987099, -118.33211)"
1999,90044,ALZ,1,"(33.955089, -118.290119)"
1999,90049,DIA,1,"(34.066, -118.473967)"
1999,90049,SUI,1,"(34.066, -118.473967)"
1999,90058,INJ,1,"(33.997344, -118.235365)"
1999,90058,HOM,1,"(33.997344, -118.235365)"
1999,90061,SUI,1,"(33.924493, -118.271638)"
1999,90063,ALZ,1,"(34.044017, -118.185432)"
1999,90064,DIA,1,"(34.035279, -118.425911)"
1999,90064,SUI,1,"(34.035279, -118.425911)"
1999,90067,ALZ,1,"(34.055146, -118.409479)"
1999,90067,SUI,1,"(34.055146, -118.409479)"
1999,90068,DIA,1,"(34.115625, -118.330476)"
1999,90073,STK,1,"(34.056667, -118.456944)"
1999,90073,CLD,1,"(34.056667, -118.456944)"
1999,90073,ALZ,1,"(34.056667, -118.456944)"
1999,90077,DIA,1,"(34.111245, -118.450155)"
1999,90077,ALZ,1,"(34.111245, -118.450155)"
1999,90077,LIV,1,"(34.111245, -118.450155)"
1999,90077,SUI,1,"(34.111245, -118.450155)"
1999,90201,ALZ,1,"(33.969177, -118.17205)"
1999,90210,ALZ,1,"(34.090107, -118.406477)"
1999,90210,LIV,1,"(34.090107, -118.406477)"
1999,90210,HOM,1,"(34.090107, -118.406477)"
1999,90212,ALZ,1,"(34.061855, -118.399544)"
1999,90015,ALZ,1,"(33.897324, -118.203724)"
1999,90222,ALZ,1,"(33.911535, -118.234034)"
1999,90222,LIV,1,"(33.911535, -118.234034)"
1999,90230,HOM,1,"(33.994927, -118.399115)"
1999,90232,LIV,1,"(34.016809, -118.397332)"
1999,90240,SUI,1,"(33.958135, -118.117381)"
1999,90240,HOM,1,"(33.958135, -118.117381)"
1999,90241,SUI,1,"(33.941612, -118.13062)"
1999,90242,SUI,1,"(33.921789, -118.139465)"
1999,90015,INJ,1,"(33.924275, -118.411924)"
1999,90015,DIA,1,"(33.924275, -118.411924)"
1999,90247,ALZ,1,"(33.892463, -118.296122)"
1999,90248,DIA,1,"(33.874506, -118.289312)"
1999,90248,HOM,1,"(33.874506, -118.289312)"
1999,90249,LIV,1,"(33.899762, -118.319854)"
1999,90249,HOM,1,"(33.899762, -118.319854)"
1999,90255,ALZ,1,"(33.976879, -118.216053)"
1999,90265,INJ,1,"(34.040184, -118.735149)"
1999,90265,ALZ,1,"(34.040184, -118.735149)"
1999,90265,LIV,1,"(34.040184, -118.735149)"
1999,90265,HOM,1,"(34.040184, -118.735149)"
1999,90266,SUI,1,"(33.889594, -118.399562)"
1999,90015,ALZ,1,"(33.988992, -118.187685)"
1999,90015,SUI,1,"(33.988992, -118.187685)"
1999,90015,HOM,1,"(33.988992, -118.187685)"
